,Дата,Вакансия,ЗП,Компания,Рейтинг компании,Необходимый уровень,Место работы,Тип занятости
190,8 июля,SRE-инженер,,Магнит,3.44,Средний (Middle),Москва,Можно удаленно
191,8 июля,Robotics Software Engineer,,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
192,8 июля,Python Developer (Центр Искусственного интеллекта),,Сбер,3.74,Старший (Senior),Москва,Полный рабочий день
193,8 июля,Дежурный администратор (Дубна),,АО «ГНИВЦ»,4.63,Средний (Middle),Дубна,Полный рабочий день
194,8 июля,Продуктовый аналитик в команду Личного кабинета,,2GIS,4.67,SQL,Москва,Можно удаленно
195,8 июля,"Developer C++ (CoreTech, Monorepo)",,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
196,8 июля,Developer C++ (SDL),,Лаборатория Касперского,4.2,Разработка программного обеспечения,,Можно удаленно
197,8 июля," Fullstack разработчик JavaScript, php",от 100 000 до 150 000 ₽,Дорстрой-36,,Средний (Middle),Воронеж,Полный рабочий день
198,8 июля,Аналитик данных,,AstraZeneca,,SQL,Москва,Москва
199,8 июля,Разработчик в группу мобильных интерфейсов автономного транспорта ,,Яндекс,3.6,Старший (Senior),Москва,Полный рабочий день
